place,start time,end time,original downtime,unit,Ripe Atlas Confirmation Ratio,notes,downtime,Service Name
ap-guangzhou,20 Nov 2022 20:01 PST,20 Nov 2022 20:05 PST,4.32,mins,NA,None,4.32,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 19:35 PST,20 Nov 2022 19:56 PST,21.03,mins,NA,None,21.03,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 19:26 PST,20 Nov 2022 19:33 PST,6.78,mins,NA,None,6.78,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 18:18 PST,20 Nov 2022 19:10 PST,52.00,mins,NA,None,52.0,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 17:08 PST,20 Nov 2022 18:16 PST,1.14,hours,NA,None,68.39999999999999,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 17:03 PST,20 Nov 2022 17:08 PST,4.67,mins,NA,None,4.67,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 16:41 PST,20 Nov 2022 16:56 PST,15.23,mins,NA,None,15.23,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 15:53 PST,20 Nov 2022 16:09 PST,15.85,mins,NA,None,15.85,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 15:46 PST,20 Nov 2022 15:52 PST,5.88,mins,NA,None,5.88,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 08:03 PST,20 Nov 2022 15:43 PST,7.67,hours,NA,None,460.2,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 07:56 PST,20 Nov 2022 07:59 PST,3.35,mins,NA,None,3.35,Tencent Cloud Virtual Machine
ap-guangzhou,20 Nov 2022 00:42 PST,20 Nov 2022 07:56 PST,7.22,hours,NA,None,433.2,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 23:41 PST,20 Nov 2022 00:23 PST,42.20,mins,NA,None,42.2,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 23:37 PST,19 Nov 2022 23:40 PST,2.50,mins,NA,None,2.5,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 23:02 PST,19 Nov 2022 23:25 PST,22.93,mins,NA,None,22.93,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 22:16 PST,19 Nov 2022 22:58 PST,42.13,mins,NA,None,42.13,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 20:05 PST,19 Nov 2022 22:00 PST,1.91,hours,NA,None,114.6,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 19:27 PST,19 Nov 2022 20:03 PST,36.07,mins,NA,None,36.07,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 19:03 PST,19 Nov 2022 19:24 PST,20.92,mins,NA,None,20.92,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 18:47 PST,19 Nov 2022 19:03 PST,16.25,mins,NA,None,16.25,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 18:21 PST,19 Nov 2022 18:30 PST,8.98,mins,NA,None,8.98,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 17:55 PST,19 Nov 2022 18:05 PST,10.18,mins,NA,None,10.18,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 17:43 PST,19 Nov 2022 17:51 PST,7.72,mins,NA,None,7.72,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 15:49 PST,19 Nov 2022 17:38 PST,1.83,hours,NA,None,109.80000000000001,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 14:17 PST,19 Nov 2022 15:36 PST,1.33,hours,NA,None,79.80000000000001,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 13:54 PST,19 Nov 2022 14:13 PST,19.70,mins,NA,None,19.7,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 13:38 PST,19 Nov 2022 13:51 PST,12.28,mins,NA,None,12.28,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 12:53 PST,19 Nov 2022 13:23 PST,29.82,mins,NA,None,29.82,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 12:22 PST,19 Nov 2022 12:50 PST,28.03,mins,NA,None,28.03,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 11:30 PST,19 Nov 2022 12:05 PST,35.42,mins,NA,None,35.42,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 11:21 PST,19 Nov 2022 11:24 PST,2.30,mins,NA,None,2.3,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 10:52 PST,19 Nov 2022 11:13 PST,20.75,mins,NA,None,20.75,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 10:22 PST,19 Nov 2022 10:48 PST,25.73,mins,NA,None,25.73,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 10:00 PST,19 Nov 2022 10:14 PST,14.22,mins,NA,None,14.22,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 09:21 PST,19 Nov 2022 09:35 PST,14.02,mins,NA,None,14.02,Tencent Cloud Virtual Machine
ap-guangzhou,19 Nov 2022 08:42 PST,19 Nov 2022 09:16 PST,33.80,mins,NA,None,33.8,Tencent Cloud Virtual Machine
